cells,ens_id,gene
T_memory,ENSG00000196683,TOMM7
T_memory,ENSG00000233429,HOTAIRM1
T_memory,ENSG00000153814,JAZF1
T_memory,ENSG00000136250,AOAH
T_memory,ENSG00000227191,TRGC2
T_memory,ENSG00000106603,COA1
T_memory,ENSG00000136279,DBNL
T_memory,ENSG00000122678,POLM
T_memory,ENSG00000196262,PPIA
T_memory,ENSG00000146733,PSPH
T_memory,ENSG00000164776,PHKG1
T_memory,ENSG00000106153,CHCHD2
T_memory,ENSG00000126522,ASL
T_memory,ENSG00000237310,AC008267.5
T_memory,ENSG00000272831,AC027644.3
T_memory,ENSG00000277149,TYW1B
T_memory,ENSG00000106635,BCL7B
T_memory,ENSG00000165171,METTL27
T_memory,ENSG00000127948,POR
T_memory,ENSG00000188372,ZP3
T_memory,ENSG00000146707,POMZP3
T_memory,ENSG00000135205,CCDC146
T_memory,ENSG00000182165,TP53TG1
T_memory,ENSG00000075142,SRI
T_memory,ENSG00000205356,TECPR1
T_memory,ENSG00000164713,BRI3
T_memory,ENSG00000146833,TRIM4
T_memory,ENSG00000106261,ZKSCAN1
T_memory,ENSG00000188186,LAMTOR4
T_memory,ENSG00000213420,GPC2
T_memory,ENSG00000121716,PILRB
T_memory,ENSG00000166925,TSC22D4
T_memory,ENSG00000227053,AC105446.1
T_memory,ENSG00000106367,AP1S1
T_memory,ENSG00000160991,ORAI2
T_memory,ENSG00000164597,COG5
T_memory,ENSG00000241764,AC002467.1
T_memory,ENSG00000091136,LAMB1
T_memory,ENSG00000177683,THAP5
T_memory,ENSG00000165055,METTL2B
T_memory,ENSG00000271553,AC018638.7
T_memory,ENSG00000128604,IRF5
T_memory,ENSG00000158525,CPA5
T_memory,ENSG00000106484,MEST
T_memory,ENSG00000158623,COPG2
T_memory,ENSG00000105939,ZC3HAV1
T_memory,ENSG00000090263,MRPS33
T_memory,ENSG00000211753,TRBV28
T_memory,ENSG00000211772,TRBC2
T_memory,ENSG00000197448,GSTK1
T_memory,ENSG00000106144,CASP2
T_memory,ENSG00000204946,ZNF783
T_memory,ENSG00000171130,ATP6V0E2
T_memory,ENSG00000127399,LRRC61
T_memory,ENSG00000133574,GIMAP4
T_memory,ENSG00000133561,GIMAP6
T_memory,ENSG00000106560,GIMAP2
T_memory,ENSG00000213203,GIMAP1
T_memory,ENSG00000196329,GIMAP5
T_memory,ENSG00000146918,NCAPG2
T_memory,ENSG00000147364,FBXO25
T_memory,ENSG00000104728,ARHGEF10
T_memory,ENSG00000136573,BLK
T_memory,ENSG00000079459,FDFT1
T_memory,ENSG00000255495,AC145124.1
T_memory,ENSG00000104219,ZDHHC2
T_memory,ENSG00000129422,MTUS1
T_memory,ENSG00000078674,PCM1
T_memory,ENSG00000104613,INTS10
T_memory,ENSG00000168476,REEP4
T_memory,ENSG00000251034,AC037459.2
T_memory,ENSG00000147454,SLC25A37
T_memory,ENSG00000120915,EPHX2
T_memory,ENSG00000147421,HMBOX1
T_memory,ENSG00000147471,PLPBP
T_memory,ENSG00000176209,SMIM19
T_memory,ENSG00000131931,THAP1
T_memory,ENSG00000168300,PCMTD1
T_memory,ENSG00000205268,PDE7A
T_memory,ENSG00000147576,ADHFE1
T_memory,ENSG00000185697,MYBL1
T_memory,ENSG00000067167,TRAM1
T_memory,ENSG00000246366,LACTB2-AS1
T_memory,ENSG00000221947,XKR9
T_memory,ENSG00000171033,PKIA
T_memory,ENSG00000076641,PAG1
T_memory,ENSG00000133731,IMPA1
T_memory,ENSG00000104497,SNX16
T_memory,ENSG00000104320,NBN
T_memory,ENSG00000164941,INTS8
T_memory,ENSG00000104356,POP1
T_memory,ENSG00000164919,COX6C
T_memory,ENSG00000034677,RNF19A
T_memory,ENSG00000164930,FZD6
T_memory,ENSG00000170873,MTSS1
T_memory,ENSG00000168672,FAM84B
T_memory,ENSG00000249859,PVT1
T_memory,ENSG00000253716,MINCR
T_memory,ENSG00000185730,ZNF696
T_memory,ENSG00000147813,"NAPRT"
T_memory,ENSG00000178209,PLEC
T_memory,ENSG00000179632,MAF1
T_memory,ENSG00000147804,SLC39A4
T_memory,ENSG00000160959,LRRC14
T_memory,ENSG00000161016,RPL8
T_memory,ENSG00000107099,DOCK8
T_memory,ENSG00000175893,ZDHHC21
T_memory,ENSG00000155158,TTC39B
T_memory,ENSG00000137154,RPS6
T_memory,ENSG00000188921,HACD4
T_memory,ENSG00000107201,DDX58
T_memory,ENSG00000086061,DNAJA1
T_memory,ENSG00000086062,B4GALT1
T_memory,ENSG00000165272,AQP3
T_memory,ENSG00000164978,NUDT2
T_memory,ENSG00000213930,GALT
T_memory,ENSG00000137106,GRHPR
T_memory,ENSG00000122741,DCAF10
T_memory,ENSG00000135046,ANXA1
T_memory,ENSG00000106733,NMRK1
T_memory,ENSG00000134996,OSTF1
T_memory,ENSG00000106829,TLE4
T_memory,ENSG00000135047,CTSL
T_memory,ENSG00000123975,CKS2
T_memory,ENSG00000187764,SEMA4D
T_memory,ENSG00000148090,AUH
T_memory,ENSG00000157303,SUSD3
T_memory,ENSG00000131669,NINJ1
T_memory,ENSG00000165140,FBP1
T_memory,ENSG00000175611,LINC00476
T_memory,ENSG00000203279,AL590705.1
T_memory,ENSG00000136842,TMOD1
T_memory,ENSG00000106785,TRIM14
T_memory,ENSG00000136783,NIPSNAP3A
T_memory,ENSG00000119471,HSDL2
T_memory,ENSG00000106952,TNFSF8
T_memory,ENSG00000148219,ASTN2
T_memory,ENSG00000106780,MEGF9
T_memory,ENSG00000119397,CNTRL
T_memory,ENSG00000119396,RAB14
T_memory,ENSG00000229245,AL359636.1
T_memory,ENSG00000197958,RPL12
T_memory,ENSG00000197694,SPTAN1
T_memory,ENSG00000167136,ENDOG
T_memory,ENSG00000130723,PRRC2B
T_memory,ENSG00000125485,DDX31
T_memory,ENSG00000175164,ABO
T_memory,ENSG00000148290,SURF1
T_memory,ENSG00000160326,SLC2A6
T_memory,ENSG00000225756,DBH-AS1
