cells,ens_id,gene
T_naive,ENSG00000040275,SPDL1
T_naive,ENSG00000182230,FAM153B
T_naive,ENSG00000146066,HIGD2A
T_naive,ENSG00000169230,PRELID1
T_naive,ENSG00000169220,RGS14
T_naive,ENSG00000184840,TMED9
T_naive,ENSG00000113240,CLK4
T_naive,ENSG00000169045,HNRNPH1
T_naive,ENSG00000248367,AC008610.1
T_naive,ENSG00000113300,CNOT6
T_naive,ENSG00000161055,SCGB3A1
T_naive,ENSG00000021355,SERPINB1
T_naive,ENSG00000170542,SERPINB9
T_naive,ENSG00000124570,SERPINB6
T_naive,ENSG00000124588,NQO2
T_naive,ENSG00000272277,AL031963.3
T_naive,ENSG00000145982,FARS2
T_naive,ENSG00000137393,RNF144B
T_naive,ENSG00000145996,CDKAL1
T_naive,ENSG00000112308,C6orf62
T_naive,ENSG00000079691,CARMIL1
T_naive,ENSG00000112343,TRIM38
T_naive,ENSG00000197061,HIST1H4C
T_naive,ENSG00000274290,HIST1H2BE
T_naive,ENSG00000124575,HIST1H1D
T_naive,ENSG00000186470,BTN3A2
T_naive,ENSG00000111801,BTN3A3
T_naive,ENSG00000158691,ZSCAN12
T_naive,ENSG00000206503,HLA-A
T_naive,ENSG00000066379,ZNRD1
T_naive,ENSG00000204568,MRPS18B
T_naive,ENSG00000146112,PPP1R18
T_naive,ENSG00000137312,FLOT1
T_naive,ENSG00000214894,LINC00243
T_naive,ENSG00000204580,DDR1
T_naive,ENSG00000272501,AL662844.4
T_naive,ENSG00000204525,HLA-C
T_naive,ENSG00000234745,HLA-B
T_naive,ENSG00000272221,AL645933.2
T_naive,ENSG00000204520,MICA
T_naive,ENSG00000204516,MICB
T_naive,ENSG00000204472,AIF1
T_naive,ENSG00000204388,HSPA1B
T_naive,ENSG00000204387,C6orf48
T_naive,ENSG00000204308,RNF5
T_naive,ENSG00000196126,HLA-DRB1
T_naive,ENSG00000179344,HLA-DQB1
T_naive,ENSG00000240065,PSMB9
T_naive,ENSG00000231389,HLA-DPA1
T_naive,ENSG00000223865,HLA-DPB1
T_naive,ENSG00000231500,RPS18
T_naive,ENSG00000231925,TAPBP
T_naive,ENSG00000198755,RPL10A
T_naive,ENSG00000164530,PI16
T_naive,ENSG00000198937,CCDC167
T_naive,ENSG00000112167,SAYSD1
T_naive,ENSG00000124587,PEX6
T_naive,ENSG00000112640,PPP2R5D
T_naive,ENSG00000196284,SUPT3H
T_naive,ENSG00000271857,AL096865.1
T_naive,ENSG00000170915,PAQR8
T_naive,ENSG00000154079,SDHAF4
T_naive,ENSG00000229852,AC019205.1
T_naive,ENSG00000111850,SMIM8
T_naive,ENSG00000112182,BACH2
T_naive,ENSG00000228439,TSTD3
T_naive,ENSG00000130347,RTN4IP1
T_naive,ENSG00000080546,SESN1
T_naive,ENSG00000135535,CD164
T_naive,ENSG00000009413,REV3L
T_naive,ENSG00000010810,FYN
T_naive,ENSG00000189241,TSPYL1
T_naive,ENSG00000188820,CALHM6
T_naive,ENSG00000111875,ASF1A
T_naive,ENSG00000111906,HDDC2
T_naive,ENSG00000111912,NCOA7
T_naive,ENSG00000198945,L3MBTL3
T_naive,ENSG00000164483,SAMD3
